 NOMBRE : TW-D13C.dat
 COMENTARIO : unknown. (cota superior)
 COST_MUL : 2
 DEMAND_MUL : 3
 VERTICES : 13
 ARISTAS_REQ : 21
 ARISTAS_NOREQ : 2
 VEHICULOS : 100
 CAPACIDAD : 150
 TIPO_COSTES_ARISTAS : EXPLICITOS 
 COSTE_TOTAL_REQ : 82
 LISTA_ARISTAS_REQ : 
 ( 9, 7)   tcoste 5.21448   scoste 5   demanda 6.01759   start 80   end 106
 ( 9, 8)   tcoste 3.56927   scoste 4   demanda 1.23948   start 76   end 90
 ( 9, 10)   tcoste 2.42525   scoste 3   demanda 2.69117   start 96   end 118
 ( 2, 8)   tcoste 6.75496   scoste 6   demanda 1.18454   start 88   end 119
 ( 1, 2)   tcoste 2.28727   scoste 3   demanda 5.63984   start 98   end 134
 ( 2, 3)   tcoste 4.91185   scoste 6   demanda 4.79803   start 101   end 135
 ( 1, 3)   tcoste 4.22192   scoste 4   demanda 7.74334   start 46   end 90
 ( 3, 4)   tcoste 1.65365   scoste 2   demanda 9.67131   start 95   end 118
 ( 1, 4)   tcoste 4.18124   scoste 4   demanda 0.982422   start 87   end 104
 ( 4, 8)   tcoste 5.83323   scoste 5   demanda 1.10657   start 79   end 107
 ( 6, 8)   tcoste 4.87887   scoste 5   demanda 12.4693   start 81   end 99
 ( 5, 6)   tcoste 1.81487   scoste 3   demanda 0   start 97   end 129
 ( 4, 5)   tcoste 2.6925   scoste 3   demanda 4.42495   start 95   end 115
 ( 6, 7)   tcoste 2.84908   scoste 4   demanda 8.34161   start 99   end 112
 ( 7, 11)   tcoste 1.5455   scoste 3   demanda 10.6883   start 80   end 130
 ( 6, 11)   tcoste 2.23743   scoste 2   demanda 6.13799   start 95   end 142
 ( 5, 11)   tcoste 5.05401   scoste 4   demanda 4.8166   start 89   end 118
 ( 5, 12)   tcoste 3.32048   scoste 3   demanda 7.50693   start 79   end 107
 ( 3, 12)   tcoste 3.37022   scoste 3   demanda 5.35523   start 102   end 121
 ( 12, 13)   tcoste 4.92675   scoste 5   demanda 6.90564   start 89   end 100
 ( 3, 13)   tcoste 2.41349   scoste 3   demanda 0.95195   start 108   end 134
 ( 2, 13)   tcoste 3.0082   scoste 5   demanda 4.13353   start 119   end 141
 LISTA_ARISTAS_NOREQ : 
 ( 2, 10)   coste 5.14524
 DEPOSITO :   1
